Linux 6.8.0-101-generic (node-0.chenzj-301213.xkernel-pg0.utah.cloudlab.us) 	04/21/26 	_x86_64_	(56 CPU)

04:36:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
04:36:15          5     22.99      0.00     19.54     57.47      0.00      0.00
04:36:16          5     24.72      0.00     16.85     58.43      0.00      0.00
04:36:17          5     23.26      0.00     16.28     60.47      0.00      0.00
04:36:18          5     24.42      0.00     16.28     59.30      0.00      0.00
04:36:19          5     23.26      0.00     17.44     59.30      0.00      0.00
04:36:20          5     22.09      0.00     17.44     60.47      0.00      0.00
04:36:21          5     22.09      0.00     17.44     60.47      0.00      0.00
04:36:22          5     24.72      0.00     16.85     58.43      0.00      0.00
04:36:23          5     23.60      0.00     19.10     57.30      0.00      0.00
04:36:24          5     21.43      0.00     16.67     61.90      0.00      0.00
04:36:25          5     21.84      0.00     18.39     59.77      0.00      0.00
04:36:26          5     22.99      0.00     18.39     58.62      0.00      0.00
04:36:27          5     25.00      0.00     17.05     57.95      0.00      0.00
04:36:28          5     22.99      0.00     17.24     59.77      0.00      0.00
04:36:29          5     22.47      0.00     20.22     57.30      0.00      0.00

Average:          5     23.20      0.00     17.69     59.11      0.00      0.00
