kprobe_loader-481038 [043] b..11 329560.394840: bpf_trace_printk: 329557173565304 → 差值：0 us
<...>-480963 [006] d.Z11 329560.397613: bpf_trace_printk: cpu: 6, task: [iperf3], ktime_ns: 329557176338676, check time: 1 us → 差值：2773 us
iperf3-480884 [046] d.Z11 329560.397614: bpf_trace_printk: cpu: 46, task: [iperf3], ktime_ns: 329557176338797, check time: 1 us → 差值：2773 us
iperf3-480965 [023] d.Z11 329560.397614: bpf_trace_printk: cpu: 23, task: [iperf3], ktime_ns: 329557176340271, check time: 0 us → 差值：2775 us
<...>-480915 [052] d.Z11 329560.397614: bpf_trace_printk: cpu: 52, task: [iperf3], ktime_ns: 329557176339175, check time: 1 us → 差值：2774 us
iperf3-480889 [019] d.Z11 329560.397616: bpf_trace_printk: cpu: 19, task: [iperf3], ktime_ns: 329557176342452, check time: 0 us → 差值：2777 us
iperf3-480948 [018] d.Z11 329560.397616: bpf_trace_printk: cpu: 18, task: [iperf3], ktime_ns: 329557176342781, check time: 0 us → 差值：2777 us
iperf3-480996 [039] d.Z11 329560.397617: bpf_trace_printk: cpu: 39, task: [iperf3], ktime_ns: 329557176341529, check time: 1 us → 差值：2776 us
iperf3-481004 [045] d.Z11 329560.397618: bpf_trace_printk: cpu: 45, task: [iperf3], ktime_ns: 329557176343430, check time: 1 us → 差值：2778 us
iperf3-480934 [042] d.Z11 329560.397620: bpf_trace_printk: cpu: 42, task: [iperf3], ktime_ns: 329557176345645, check time: 1 us → 差值：2780 us
iperf3-480943 [053] d.Z11 329560.397621: bpf_trace_printk: cpu: 53, task: [iperf3], ktime_ns: 329557176347467, check time: 0 us → 差值：2782 us
iperf3-480912 [022] d.Z11 329560.397625: bpf_trace_printk: cpu: 22, task: [iperf3], ktime_ns: 329557176351518, check time: 0 us → 差值：2786 us
iperf3-480980 [010] d.Z11 329560.397625: bpf_trace_printk: cpu: 10, task: [iperf3], ktime_ns: 329557176350214, check time: 1 us → 差值：2785 us
<...>-480993 [034] d.Z11 329560.397626: bpf_trace_printk: cpu: 34, task: [iperf3], ktime_ns: 329557176352421, check time: 0 us → 差值：2787 us
iperf3-480921 [040] d.Z11 329560.397626: bpf_trace_printk: cpu: 40, task: [iperf3], ktime_ns: 329557176351546, check time: 1 us → 差值：2786 us
iperf3-480949 [017] d.Z11 329560.397627: bpf_trace_printk: cpu: 17, task: [iperf3], ktime_ns: 329557176353512, check time: 0 us → 差值：2788 us
iperf3-480886 [001] d.Z11 329560.397627: bpf_trace_printk: cpu: 1, task: [iperf3], ktime_ns: 329557176352237, check time: 0 us → 差值：2787 us
iperf3-480999 [016] d.Z11 329560.397628: bpf_trace_printk: cpu: 16, task: [iperf3], ktime_ns: 329557176354782, check time: 0 us → 差值：2789 us
iperf3-480877 [021] d.Z11 329560.397629: bpf_trace_printk: cpu: 21, task: [iperf3], ktime_ns: 329557176355666, check time: 0 us → 差值：2790 us
iperf3-480979 [025] d.Z11 329560.397630: bpf_trace_printk: cpu: 25, task: [iperf3], ktime_ns: 329557176357200, check time: 0 us → 差值：2792 us
iperf3-480924 [018] d.Z11 329560.397631: bpf_trace_printk: cpu: 18, task: [iperf3], ktime_ns: 329557176357571, check time: 0 us → 差值：2792 us
iperf3-480969 [050] d.Z11 329560.397631: bpf_trace_printk: cpu: 50, task: [iperf3], ktime_ns: 329557176356810, check time: 0 us → 差值：2791 us
iperf3-480974 [011] d.Z11 329560.397631: bpf_trace_printk: cpu: 11, task: [iperf3], ktime_ns: 329557176356621, check time: 1 us → 差值：2791 us
iperf3-480936 [051] d.Z11 329560.397632: bpf_trace_printk: cpu: 51, task: [iperf3], ktime_ns: 329557176357582, check time: 0 us → 差值：2792 us
iperf3-480895 [041] d.Z11 329560.397633: bpf_trace_printk: cpu: 41, task: [iperf3], ktime_ns: 329557176358566, check time: 0 us → 差值：2793 us
iperf3-480984 [047] d.Z11 329560.397636: bpf_trace_printk: cpu: 47, task: [iperf3], ktime_ns: 329557176361697, check time: 0 us → 差值：2796 us
iperf3-480913 [004] d.Z11 329560.397637: bpf_trace_printk: cpu: 4, task: [iperf3], ktime_ns: 329557176363964, check time: 0 us → 差值：2799 us
iperf3-480945 [054] d.Z11 329560.397637: bpf_trace_printk: cpu: 54, task: [iperf3], ktime_ns: 329557176364274, check time: 0 us → 差值：2799 us
iperf3-480938 [052] d.Z11 329560.397643: bpf_trace_printk: cpu: 52, task: [iperf3], ktime_ns: 329557176369905, check time: 0 us → 差值：2805 us
<...>-480894 [024] d.Z11 329560.397644: bpf_trace_printk: cpu: 24, task: [iperf3], ktime_ns: 329557176371014, check time: 0 us → 差值：2806 us
iperf3-480956 [016] d.Z11 329560.397646: bpf_trace_printk: cpu: 16, task: [iperf3], ktime_ns: 329557176373017, check time: 0 us → 差值：2808 us
iperf3-480966 [021] d.Z11 329560.397647: bpf_trace_printk: cpu: 21, task: [iperf3], ktime_ns: 329557176373732, check time: 0 us → 差值：2808 us
<...>-480883 [048] d.Z11 329560.397650: bpf_trace_printk: cpu: 48, task: [iperf3], ktime_ns: 329557176376943, check time: 0 us → 差值：2812 us
<...>-480989 [008] d.Z11 329560.397651: bpf_trace_printk: cpu: 8, task: [iperf3], ktime_ns: 329557176377338, check time: 0 us → 差值：2812 us
iperf3-480968 [027] d.Z11 329560.397651: bpf_trace_printk: cpu: 27, task: [iperf3], ktime_ns: 329557176378065, check time: 0 us → 差值：2813 us
iperf3-480992 [039] d.Z11 329560.397651: bpf_trace_printk: cpu: 39, task: [iperf3], ktime_ns: 329557176378423, check time: 0 us → 差值：2813 us
iperf3-480983 [018] d.Z11 329560.397652: bpf_trace_printk: cpu: 18, task: [iperf3], ktime_ns: 329557176378793, check time: 0 us → 差值：2813 us
iperf3-480982 [025] d.Z11 329560.397654: bpf_trace_printk: cpu: 25, task: [iperf3], ktime_ns: 329557176380688, check time: 0 us → 差值：2815 us
iperf3-480942 [030] d.Z11 329560.397655: bpf_trace_printk: cpu: 30, task: [iperf3], ktime_ns: 329557176381628, check time: 0 us → 差值：2816 us
iperf3-480998 [051] d.Z11 329560.397657: bpf_trace_printk: cpu: 51, task: [iperf3], ktime_ns: 329557176383768, check time: 0 us → 差值：2818 us
iperf3-480978 [020] d.Z11 329560.397658: bpf_trace_printk: cpu: 20, task: [iperf3], ktime_ns: 329557176384717, check time: 0 us → 差值：2819 us
iperf3-480904 [010] d.Z11 329560.397662: bpf_trace_printk: cpu: 10, task: [iperf3], ktime_ns: 329557176387915, check time: 0 us → 差值：2823 us
iperf3-480940 [038] d.Z11 329560.397664: bpf_trace_printk: cpu: 38, task: [iperf3], ktime_ns: 329557176389527, check time: 0 us → 差值：2824 us
iperf3-480950 [040] d.Z11 329560.397670: bpf_trace_printk: cpu: 40, task: [iperf3], ktime_ns: 329557176396702, check time: 0 us → 差值：2831 us
iperf3-480892 [050] d.Z11 329560.397674: bpf_trace_printk: cpu: 50, task: [iperf3], ktime_ns: 329557176400946, check time: 0 us → 差值：2836 us
iperf3-480927 [034] d.Z11 329560.397675: bpf_trace_printk: cpu: 34, task: [iperf3], ktime_ns: 329557176401306, check time: 0 us → 差值：2836 us
iperf3-480937 [048] d.Z11 329560.397676: bpf_trace_printk: cpu: 48, task: [iperf3], ktime_ns: 329557176400186, check time: 2 us → 差值：2835 us
<...>-480925 [019] d.Z11 329560.397677: bpf_trace_printk: cpu: 19, task: [iperf3], ktime_ns: 329557176403484, check time: 0 us → 差值：2838 us
iperf3-480988 [054] d.Z11 329560.397682: bpf_trace_printk: cpu: 54, task: [iperf3], ktime_ns: 329557176409235, check time: 0 us → 差值：2844 us
iperf3-480902 [041] d.Z11 329560.397684: bpf_trace_printk: cpu: 41, task: [iperf3], ktime_ns: 329557176410367, check time: 0 us → 差值：2845 us
iperf3-480906 [010] d.Z11 329560.397692: bpf_trace_printk: cpu: 10, task: [iperf3], ktime_ns: 329557176418704, check time: 0 us → 差值：2853 us
iperf3-480918 [035] d.Z11 329560.397700: bpf_trace_printk: cpu: 35, task: [iperf3], ktime_ns: 329557176426384, check time: 0 us → 差值：2861 us
iperf3-480939 [027] d.Z11 329560.397703: bpf_trace_printk: cpu: 27, task: [iperf3], ktime_ns: 329557176429646, check time: 0 us → 差值：2864 us
iperf3-480941 [001] d.Z11 329560.397706: bpf_trace_printk: cpu: 1, task: [iperf3], ktime_ns: 329557176432953, check time: 0 us → 差值：2868 us
iperf3-480987 [005] d.Z11 329560.397724: bpf_trace_printk: cpu: 5, task: [iperf3], ktime_ns: 329557176450578, check time: 0 us → 差值：2885 us
iperf3-480882 [005] d.Z11 329560.397737: bpf_trace_printk: cpu: 5, task: [iperf3], ktime_ns: 329557176464063, check time: 0 us → 差值：2899 us
iperf3-480935 [029] d.Z11 329560.397737: bpf_trace_printk: cpu: 29, task: [iperf3], ktime_ns: 329557176463952, check time: 0 us → 差值：2899 us
iperf3-480991 [039] d.Z11 329560.397738: bpf_trace_printk: cpu: 39, task: [iperf3], ktime_ns: 329557176464726, check time: 0 us → 差值：2899 us
iperf3-480977 [050] d.Z11 329560.397742: bpf_trace_printk: cpu: 50, task: [iperf3], ktime_ns: 329557176468417, check time: 0 us → 差值：2903 us
iperf3-480896 [013] d.Z11 329560.397743: bpf_trace_printk: cpu: 13, task: [iperf3], ktime_ns: 329557176469885, check time: 0 us → 差值：2905 us
iperf3-480880 [000] d.Z11 329560.397748: bpf_trace_printk: cpu: 0, task: [iperf3], ktime_ns: 329557176474507, check time: 0 us → 差值：2909 us
iperf3-480973 [053] d.Z11 329560.397748: bpf_trace_printk: cpu: 53, task: [iperf3], ktime_ns: 329557176475147, check time: 0 us → 差值：2910 us
iperf3-480900 [009] d.Z11 329560.397750: bpf_trace_printk: cpu: 9, task: [iperf3], ktime_ns: 329557176476892, check time: 0 us → 差值：2912 us
iperf3-480901 [005] d.Z11 329560.397751: bpf_trace_printk: cpu: 5, task: [iperf3], ktime_ns: 329557176475546, check time: 0 us → 差值：2910 us
<...>-480985 [054] d.Z11 329560.397752: bpf_trace_printk: cpu: 54, task: [iperf3], ktime_ns: 329557176478546, check time: 0 us → 差值：2913 us
<...>-480967 [045] d.Z11 329560.397759: bpf_trace_printk: cpu: 45, task: [iperf3], ktime_ns: 329557176485437, check time: 0 us → 差值：2920 us
iperf3-480887 [020] d.Z11 329560.397760: bpf_trace_printk: cpu: 20, task: [iperf3], ktime_ns: 329557176487148, check time: 0 us → 差值：2922 us
iperf3-480994 [023] d.Z11 329560.397760: bpf_trace_printk: cpu: 23, task: [iperf3], ktime_ns: 329557176486982, check time: 0 us → 差值：2922 us
iperf3-480997 [035] d.Z11 329560.397763: bpf_trace_printk: cpu: 35, task: [iperf3], ktime_ns: 329557176489922, check time: 0 us → 差值：2925 us
iperf3-480903 [053] d.Z11 329560.397763: bpf_trace_printk: cpu: 53, task: [iperf3], ktime_ns: 329557176490455, check time: 0 us → 差值：2925 us
iperf3-480905 [046] d.Z11 329560.397766: bpf_trace_printk: cpu: 46, task: [iperf3], ktime_ns: 329557176492963, check time: 0 us → 差值：2928 us
iperf3-480930 [013] d.Z11 329560.397766: bpf_trace_printk: cpu: 13, task: [iperf3], ktime_ns: 329557176492755, check time: 0 us → 差值：2928 us
iperf3-480954 [041] d.Z11 329560.397773: bpf_trace_printk: cpu: 41, task: [iperf3], ktime_ns: 329557176500270, check time: 0 us → 差值：2935 us
